x,y,width,height,confidence,class,image_path,tile_col,tile_row,object_centroid_x,object_centroid_y,geotransform,mylist,bb
783,385,429,635,0.5680122971534729,infested_tree,jpg/tile_0_15.jpg,0,15,997,68,"[259821.30138992154, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259832.32671385322 1483933.8072003368, 259832.32671385322 1483924.8658456795, 259838.3674085744 1483924.8658456795, 259838.3674085744 1483933.8072003368, 259832.32671385322 1483933.8072003368))"
91,413,182,354,0.5230750441551208,infested_tree,jpg/tile_1_15.jpg,1,15,182,236,"[259835.3822633975, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259836.66362288382 1483933.4129358795, 259836.66362288382 1483928.428306669, 259839.22634185644 1483928.428306669, 259839.22634185644 1483933.4129358795, 259836.66362288382 1483933.4129358795))"
174,578,345,423,0.5232828259468079,infested_tree,jpg/tile_2_12.jpg,2,12,346,367,"[259849.46313687347, 0.014080873475957724, 0.0, 1483981.470957053, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259851.91320885828 1483973.3322121839, 259851.91320885828 1483967.3760027036, 259856.77111020748 1483967.3760027036, 259856.77111020748 1483973.3322121839, 259851.91320885828 1483973.3322121839))"
912,269,171,539,0.2892794907093048,infested_tree,jpg/tile_2_13.jpg,2,13,997,0,"[259849.46313687347, 0.014080873475957724, 0.0, 1483967.3900835768, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259862.30489348355 1483963.6023286118, 259862.30489348355 1483956.0127378083, 259864.71272284794 1483956.0127378083, 259864.71272284794 1483963.6023286118, 259862.30489348355 1483963.6023286118))"
112,722,225,545,0.5049431920051575,infested_tree,jpg/tile_3_14.jpg,3,14,224,450,"[259863.5440103494, 0.014080873475957724, 0.0, 1483953.309210101, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259865.1210681787 1483943.1428194512, 259865.1210681787 1483935.4687434067, 259868.2892647108 1483935.4687434067, 259868.2892647108 1483943.1428194512, 259865.1210681787 1483943.1428194512))"
859,260,278,501,0.3128587901592254,infested_tree,jpg/tile_3_15.jpg,3,15,998,10,"[259863.5440103494, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259875.63948066524 1483935.5673095214, 259875.63948066524 1483928.51279191, 259879.55396349155 1483928.51279191, 259879.55396349155 1483935.5673095214, 259875.63948066524 1483935.5673095214))"
871,775,257,448,0.5334631204605103,infested_tree,jpg/tile_3_17.jpg,3,17,999,551,"[259863.5440103494, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259875.80845114696 1483900.1539127291, 259875.80845114696 1483893.845681412, 259879.42723563028 1483893.845681412, 259879.42723563028 1483900.1539127291, 259875.80845114696 1483900.1539127291))"
666,881,292,237,0.3886386752128601,infested_tree,jpg/tile_3_17.jpg,3,17,812,763,"[259863.5440103494, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259872.92187208438 1483898.6613401407, 259872.92187208438 1483895.3241731268, 259877.03348713936 1483895.3241731268, 259877.03348713936 1483898.6613401407, 259872.92187208438 1483898.6613401407))"
685,631,278,290,0.2764831185340881,infested_tree,jpg/tile_3_17.jpg,3,17,824,486,"[259863.5440103494, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259873.18940868042 1483902.1815585098, 259873.18940868042 1483898.0981052017, 259877.10389150673 1483898.0981052017, 259877.10389150673 1483902.1815585098, 259873.18940868042 1483902.1815585098))"
499,429,389,328,0.5473714470863342,infested_tree,jpg/tile_3_18.jpg,3,18,693,265,"[259863.5440103494, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259870.5703662139 1483890.945021476, 259870.5703662139 1483886.3264949757, 259876.04782599607 1483886.3264949757, 259876.04782599607 1483890.945021476, 259870.5703662139 1483890.945021476))"
817,671,357,451,0.509223222732544,infested_tree,jpg/tile_3_18.jpg,3,18,995,446,"[259863.5440103494, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259875.04808397926 1483887.5374500947, 259875.04808397926 1483881.1869761571, 259880.07495581018 1483881.1869761571, 259880.07495581018 1483887.5374500947, 259875.04808397926 1483887.5374500947))"
612,142,596,285,0.505511999130249,infested_tree,jpg/tile_3_18.jpg,3,18,910,0,"[259863.5440103494, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259872.1615049167 1483894.9862321636, 259872.1615049167 1483890.973183223, 259880.55370550838 1483890.973183223, 259880.55370550838 1483894.9862321636, 259872.1615049167 1483894.9862321636))"
775,168,437,337,0.7844140529632568,infested_tree,jpg/tile_3_19.jpg,3,19,993,0,"[259863.5440103494, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259874.45668729328 1483880.5392559771, 259874.45668729328 1483875.7940016158, 259880.61002900227 1483875.7940016158, 259880.61002900227 1483880.5392559771, 259874.45668729328 1483880.5392559771))"
787,742,415,498,0.6467126607894897,infested_tree,jpg/tile_3_20.jpg,3,20,994,493,"[259863.5440103494, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259874.62565777497 1483858.375961126, 259874.62565777497 1483851.363686135, 259880.4692202675 1483851.363686135, 259880.4692202675 1483858.375961126, 259874.62565777497 1483858.375961126))"
825,171,343,307,0.4510431289672851,infested_tree,jpg/tile_3_21.jpg,3,21,996,18,"[259863.5440103494, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259875.16073096707 1483852.335266405, 259875.16073096707 1483848.012438248, 259879.99047056932 1483848.012438248, 259879.99047056932 1483852.335266405, 259875.16073096707 1483852.335266405))"
785,708,412,382,0.3685573935508728,healthy_tree,jpg/tile_4_11.jpg,4,11,991,517,"[259877.62488382537, 0.014080873475957724, 0.0, 1483995.5518305288, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259888.678369504 1483985.582572108, 259888.678369504 1483980.20367844, 259894.47968937608 1483980.20367844, 259894.47968937608 1483985.582572108, 259888.678369504 1483985.582572108))"
136,278,267,529,0.6166191101074219,infested_tree,jpg/tile_4_15.jpg,4,15,269,14,"[259877.62488382537, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259879.5398826181 1483935.3138537987, 259879.5398826181 1483927.86507173, 259883.29947583616 1483927.86507173, 259883.29947583616 1483935.3138537987, 259879.5398826181 1483935.3138537987))"
767,283,435,545,0.4281278550624847,infested_tree,jpg/tile_4_15.jpg,4,15,984,11,"[259877.62488382537, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259888.42491378143 1483935.2434494314, 259888.42491378143 1483927.569373387, 259894.55009374348 1483927.569373387, 259894.55009374348 1483935.2434494314, 259888.42491378143 1483935.2434494314))"
583,753,292,231,0.4981198310852051,healthy_tree,jpg/tile_4_16.jpg,4,16,729,638,"[259877.62488382537, 0.014080873475957724, 0.0, 1483925.147463149, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259885.83403306184 1483914.5445654215, 259885.83403306184 1483911.2918836486, 259889.94564811682 1483911.2918836486, 259889.94564811682 1483914.5445654215, 259885.83403306184 1483914.5445654215))"
277,803,501,385,0.3877537250518799,infested_tree,jpg/tile_4_17.jpg,4,17,527,611,"[259877.62488382537, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259881.52528577822 1483899.7596482718, 259881.52528577822 1483894.3385119836, 259888.57980338967 1483894.3385119836, 259888.57980338967 1483899.7596482718, 259881.52528577822 1483899.7596482718))"
773,470,437,543,0.3569071888923645,infested_tree,jpg/tile_4_17.jpg,4,17,991,199,"[259877.62488382537, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259888.5093990223 1483904.4485791393, 259888.5093990223 1483896.8026648418, 259894.6627407313 1483896.8026648418, 259894.6627407313 1483904.4485791393, 259888.5093990223 1483904.4485791393))"
175,782,351,420,0.587061882019043,infested_tree,jpg/tile_4_18.jpg,4,18,350,572,"[259877.62488382537, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259880.08903668367 1483885.974473139, 259880.08903668367 1483880.060506279, 259885.03142327373 1483880.060506279, 259885.03142327373 1483885.974473139, 259880.08903668367 1483885.974473139))"
582,892,598,215,0.4477115273475647,infested_tree,jpg/tile_4_18.jpg,4,18,881,785,"[259877.62488382537, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259885.81995218838 1483884.4255770566, 259885.81995218838 1483881.3981892592, 259894.240314527 1483881.3981892592, 259894.240314527 1483884.4255770566, 259885.81995218838 1483884.4255770566))"
282,75,556,150,0.3225333094596863,infested_tree,jpg/tile_4_18.jpg,4,18,560,0,"[259877.62488382537, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259881.5956901456 1483895.9296506864, 259881.5956901456 1483893.817519665, 259889.42465579824 1483893.817519665, 259889.42465579824 1483895.9296506864, 259881.5956901456 1483895.9296506864))"
778,64,440,128,0.2684630155563354,infested_tree,jpg/tile_4_18.jpg,4,18,998,0,"[259877.62488382537, 0.014080873475957724, 0.0, 1483896.9857161972, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259888.57980338967 1483896.0845402947, 259888.57980338967 1483894.2821884898, 259894.7753877191 1483894.2821884898, 259894.7753877191 1483896.0845402947, 259888.57980338967 1483896.0845402947))"
160,189,320,376,0.5865634083747864,infested_tree,jpg/tile_4_19.jpg,4,19,320,1,"[259877.62488382537, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259879.8778235815 1483880.243557634, 259879.8778235815 1483874.9491492072, 259884.38370309383 1483874.9491492072, 259884.38370309383 1483880.243557634, 259879.8778235815 1483880.243557634))"
611,522,623,592,0.4850525259971618,infested_tree,jpg/tile_4_19.jpg,4,19,922,226,"[259877.62488382537, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259886.22829751918 1483875.5546267666, 259886.22829751918 1483867.218749669, 259895.0006816947 1483867.218749669, 259895.0006816947 1483875.5546267666, 259886.22829751918 1483875.5546267666))"
277,335,501,556,0.3790932893753052,healthy_tree,jpg/tile_4_19.jpg,4,19,527,57,"[259877.62488382537, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259881.52528577822 1483878.1877501067, 259881.52528577822 1483870.358784454, 259888.57980338967 1483870.358784454, 259888.57980338967 1483878.1877501067, 259881.52528577822 1483878.1877501067))"
615,832,646,334,0.49649578332901,infested_tree,jpg/tile_4_20.jpg,4,20,938,665,"[259877.62488382537, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259886.28462101307 1483857.1086825132, 259886.28462101307 1483852.4056707723, 259895.38086527854 1483852.4056707723, 259895.38086527854 1483857.1086825132, 259886.28462101307 1483857.1086825132))"
135,864,271,270,0.2923358082771301,infested_tree,jpg/tile_4_20.jpg,4,20,270,729,"[259877.62488382537, 0.014080873475957724, 0.0, 1483868.8239692452, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259879.52580174463 1483856.658094562, 259879.52580174463 1483852.8562587234, 259883.34171845662 1483852.8562587234, 259883.34171845662 1483856.658094562, 259879.52580174463 1483856.658094562))"
470,467,390,420,0.6781785488128662,infested_tree,jpg/tile_4_21.jpg,4,21,665,257,"[259877.62488382537, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259884.24289435908 1483848.167327856, 259884.24289435908 1483842.253360996, 259889.7344350147 1483842.253360996, 259889.7344350147 1483848.167327856, 259884.24289435908 1483848.167327856))"
179,128,359,256,0.5414980053901672,infested_tree,jpg/tile_4_21.jpg,4,21,358,0,"[259877.62488382537, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259880.14536017756 1483852.9407439644, 259880.14536017756 1483849.3360403546, 259885.20039375543 1483849.3360403546, 259885.20039375543 1483852.9407439644, 259880.14536017756 1483852.9407439644))"
907,369,185,373,0.3089966177940368,infested_tree,jpg/tile_4_21.jpg,4,21,999,183,"[259877.62488382537, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259890.39623606807 1483849.5472534567, 259890.39623606807 1483844.2950876502, 259893.00119766113 1483844.2950876502, 259893.00119766113 1483849.5472534567, 259890.39623606807 1483849.5472534567))"
881,870,237,256,0.4642651081085205,healthy_tree,jpg/tile_5_11.jpg,5,11,999,742,"[259891.70575730133, 0.014080873475957724, 0.0, 1483995.5518305288, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259904.11100683364 1483983.3014706047, 259904.11100683364 1483979.696766995, 259907.44817384746 1483979.696766995, 259907.44817384746 1483983.3014706047, 259904.11100683364 1483983.3014706047))"
617,825,742,350,0.3231441378593445,infested_tree,jpg/tile_5_14.jpg,5,14,988,650,"[259891.70575730133, 0.014080873475957724, 0.0, 1483953.309210101, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259900.393656236 1483941.6924894832, 259900.393656236 1483936.7641837667, 259910.84166435516 1483936.7641837667, 259910.84166435516 1483941.6924894832, 259900.393656236 1483941.6924894832))"
788,227,417,454,0.6148375272750854,infested_tree,jpg/tile_5_15.jpg,5,15,996,0,"[259891.70575730133, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259902.8014856004 1483936.031978346, 259902.8014856004 1483929.6392617878, 259908.67320983985 1483929.6392617878, 259908.67320983985 1483936.031978346, 259902.8014856004 1483936.031978346))"
98,258,193,407,0.5229414701461792,infested_tree,jpg/tile_5_15.jpg,5,15,194,55,"[259891.70575730133, 0.014080873475957724, 0.0, 1483939.228336625, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259893.08568290196 1483935.5954712683, 259893.08568290196 1483929.8645557635, 259895.80329148282 1483929.8645557635, 259895.80329148282 1483935.5954712683, 259893.08568290196 1483935.5954712683))"
112,792,225,414,0.3277540802955627,infested_tree,jpg/tile_5_17.jpg,5,17,224,585,"[259891.70575730133, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259893.28281513063 1483899.91453788, 259893.28281513063 1483894.0850562612, 259896.45101166272 1483894.0850562612, 259896.45101166272 1483899.91453788, 259893.28281513063 1483899.91453788))"
789,785,404,415,0.2909089624881744,infested_tree,jpg/tile_5_17.jpg,5,17,991,578,"[259891.70575730133, 0.014080873475957724, 0.0, 1483911.066589673, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259902.81556647387 1483900.0131039943, 259902.81556647387 1483894.1695415017, 259908.50423935815 1483894.1695415017, 259908.50423935815 1483900.0131039943, 259902.81556647387 1483900.0131039943))"
769,715,457,521,0.5958520174026489,infested_tree,jpg/tile_5_19.jpg,5,19,997,455,"[259891.70575730133, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259902.53394900434 1483872.8370181858, 259902.53394900434 1483865.5008831047, 259908.96890818284 1483865.5008831047, 259908.96890818284 1483872.8370181858, 259902.53394900434 1483872.8370181858))"
216,671,426,523,0.4735338389873504,infested_tree,jpg/tile_5_19.jpg,5,19,429,410,"[259891.70575730133, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259894.74722597213 1483873.4565766186, 259894.74722597213 1483866.0922797907, 259900.74567807288 1483866.0922797907, 259900.74567807288 1483873.4565766186, 259894.74722597213 1483873.4565766186))"
182,345,364,612,0.441577285528183,healthy_tree,jpg/tile_5_19.jpg,5,19,364,39,"[259891.70575730133, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259894.26847627395 1483878.0469413719, 259894.26847627395 1483869.4294468046, 259899.3939142192 1483869.4294468046, 259899.3939142192 1483878.0469413719, 259894.26847627395 1483878.0469413719))"
625,378,673,584,0.2793582677841186,infested_tree,jpg/tile_5_19.jpg,5,19,961,86,"[259891.70575730133, 0.014080873475957724, 0.0, 1483882.904842721, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259900.5063032238 1483877.582272547, 259900.5063032238 1483869.359042437, 259909.98273107313 1483869.359042437, 259909.98273107313 1483877.582272547, 259900.5063032238 1483877.582272547))"
230,168,432,331,0.5452396273612976,infested_tree,jpg/tile_5_21.jpg,5,21,446,3,"[259891.70575730133, 0.014080873475957724, 0.0, 1483854.7430957693, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259894.9443582008 1483852.3775090254, 259894.9443582008 1483847.7167399048, 259901.02729554242 1483847.7167399048, 259901.02729554242 1483852.3775090254, 259894.9443582008 1483852.3775090254))"
886,785,226,406,0.2696805596351623,healthy_tree,jpg/tile_6_6.jpg,6,6,999,582,"[259905.7866307773, 0.014080873475957724, 0.0, 1484065.9561979086, 0.0, -0.014080873475957724]",1.1,"POLYGON ((259918.26228467698 1484054.9027122299, 259918.26228467698 1484049.1858775986, 259921.44456208256 1484049.1858775986, 259921.44456208256 1484054.9027122299, 259918.26228467698 1484054.9027122299))"
